skill1,skill2,skill3,skill4,skill5,primary_skills,secondary_skills,career_path
html,css,javascript,react,git,"html, css, javascript","react, git",Web Developer
sql,statistics,data visualization,python,excel,"sql, statistics, data visualization","python, excel",Data Analyst
python,machine learning,feature engineering,statistics,model training,"python, machine learning, feature engineering","statistics, model training",Machine Learning Engineer
network security,penetration testing,threat analysis,linux,firewall,"network security, penetration testing, threat analysis","linux, firewall",Cyber Security Analyst
cloud services,infrastructure management,containerization,docker,kubernetes,"cloud services, infrastructure management, containerization","docker, kubernetes",Cloud Engineer
business analysis,requirements gathering,stakeholder communication,documentation,data visualization,"business analysis, requirements gathering, stakeholder communication","documentation, data visualization",Business Analyst
database optimization,backup and recovery,query tuning,sql,performance monitoring,"database optimization, backup and recovery, query tuning","sql, performance monitoring",Database Administrator
data structures,algorithms,object oriented programming,java,git,"data structures, algorithms, object oriented programming","java, git",Software Engineer
deep learning,neural networks,computer vision,python,tensorflow,"deep learning, neural networks, computer vision","python, tensorflow",AI Engineer
user research,wireframing,usability testing,figma,prototyping,"user research, wireframing, usability testing","figma, prototyping",UI/UX Designer
html,css,javascript,bootstrap,git,"html, css, javascript","bootstrap, git",Web Developer
sql,python,statistics,data visualization,excel,"sql, statistics, data visualization","python, excel",Data Analyst
python,machine learning,statistics,deep learning,tensorflow,"python, machine learning, deep learning","statistics, tensorflow",AI Engineer
network security,linux,threat analysis,firewall,penetration testing,"network security, penetration testing, threat analysis","linux, firewall",Cyber Security Analyst
cloud services,docker,kubernetes,infrastructure management,linux,"cloud services, infrastructure management, containerization","docker, kubernetes",Cloud Engineer
business analysis,stakeholder communication,requirements gathering,documentation,sql,"business analysis, requirements gathering, stakeholder communication","documentation, sql",Business Analyst
database optimization,sql,query tuning,backup and recovery,performance monitoring,"database optimization, query tuning, backup and recovery","sql, performance monitoring",Database Administrator
data structures,algorithms,java,object oriented programming,git,"data structures, algorithms, object oriented programming","java, git",Software Engineer
user research,wireframing,figma,usability testing,prototyping,"user research, wireframing, usability testing","figma, prototyping",UI/UX Designer
python,machine learning,feature engineering,model training,statistics,"python, machine learning, feature engineering","statistics, model training",Machine Learning Engineer
html,css,javascript,react,bootstrap,"html, css, javascript","react, bootstrap",Web Developer
html,css,javascript,git,ui design,"html, css, javascript","git, ui design",Web Developer
sql,statistics,data visualization,python,power bi,"sql, statistics, data visualization","python, power bi",Data Analyst
sql,statistics,excel,python,tableau,"sql, statistics, data visualization","excel, tableau",Data Analyst
python,machine learning,feature engineering,statistics,tensorflow,"python, machine learning, feature engineering","statistics, tensorflow",Machine Learning Engineer
python,machine learning,model training,deep learning,pytorch,"python, machine learning, deep learning","model training, pytorch",Machine Learning Engineer
network security,threat analysis,penetration testing,firewall,linux,"network security, penetration testing, threat analysis","firewall, linux",Cyber Security Analyst
network security,ethical hacking,threat analysis,linux,firewall,"network security, ethical hacking, threat analysis","linux, firewall",Cyber Security Analyst
cloud services,infrastructure management,containerization,docker,kubernetes,"cloud services, infrastructure management, containerization","docker, kubernetes",Cloud Engineer
cloud services,docker,kubernetes,linux,infrastructure management,"cloud services, infrastructure management, containerization","docker, linux",Cloud Engineer
business analysis,stakeholder communication,requirements gathering,documentation,excel,"business analysis, requirements gathering, stakeholder communication","documentation, excel",Business Analyst
